"Notes: This first column is the original factor used in AEM JF 2014 (with the new Flow of Funds data added updated to 2017), the second column uses the revised and updated flow of funds data from 1968-2017",,
"The difference occurs because the Flow of Funds significantly revised / updated it's historical data for broker dealers, changing the way assets and liabilities were counted (specifically they changed their handling of using gross vs net repo)",,
date,LevFactor_original,LevFac_newdata
196801,-0.6629,-2.561222901
196802,1.8512,0.897056731
196803,13.3859,17.29722822
196804,-6.3279,-11.15279347
196901,-9.6066,-12.52145015
196902,6.399,3.569183223
196903,-7.5211,-6.898861296
196904,15.3801,13.47996126
197001,9.2616,4.653465281
197002,-4.0271,-7.08200047
197003,19.8744,21.81840432
197004,11.8794,7.81596751
197101,4.5441,2.053174689
197102,-7.9961,-9.294429915
197103,-1.5688,0.957847803
197104,9.0065,0.672801071
197201,-0.5036,-0.550537285
197202,-1.2492,-1.375557496
197203,3.5581,5.284027982
197204,12.2443,4.117225609
197301,-22.1639,-19.98706155
197302,-15.1849,-14.05220431
197303,-12.8694,-9.827191407
197304,-1.8219,-5.438775509
197401,-10.6005,-11.70130521
197402,3.6294,0.411885761
197403,-0.9294,-1.093820558
197404,-7.0433,-14.44344044
197501,8.56,9.231216026
197502,2.364,3.667034466
197503,-5.9064,-1.700841881
197504,6.7122,4.70627689
197601,35.9422,33.28315085
197602,7.6959,7.155985685
197603,21.0627,20.15492263
197604,2.8112,1.598329176
197701,-0.166,1.746510245
197702,10.3334,8.653582498
197703,-2.9595,4.139479451
197704,3.9264,-2.119569857
197801,17.0113,15.48255413
197802,4.834,4.668504249
197803,2.4597,5.504933248
197804,-15.3241,-9.526304294
197901,7.8729,8.911469051
197902,24.1876,20.89065683
197903,-1.2603,2.182808711
197904,-23.9861,-17.48676522
198001,24.1984,4.964932426
198002,-3.0158,1.679060136
198003,11.6581,1.54458007
198004,-27.5435,-1.774189104
198101,23.6713,8.944365963
198102,-5.9814,-1.971310636
198103,-1.7595,6.802147486
198104,8.9834,7.519430485
198201,9.6647,-3.084962094
198202,0.0304,3.78870951
198203,3.8885,7.977445278
198204,14.7743,-7.93718023
198301,-11.7277,-1.429593294
198302,2.5487,0.854117396
198303,7.891,11.25147679
198304,-2.1665,-0.200380883
198401,3.2559,6.17250013
198402,-3.2502,4.091850591
198403,13.3506,4.315360847
198404,23.0279,8.012162083
198501,-19.4071,-5.182401924
198502,10.7053,2.687839816
198503,-0.2938,2.166649041
198504,8.8543,1.742013928
198601,12.6772,5.541538276
198602,-6.3483,-2.249888967
198603,-6.748,3.26507043
198604,-6.5832,-7.421337631
198701,1.1142,2.826570197
198702,-2.6693,-0.876559137
198703,1.3557,6.958966231
198704,-33.4191,-9.302026233
198801,12.8812,10.76941958
198802,-9.4435,-2.621486229
198803,3.2587,6.436632667
198804,-2.4615,-10.97302281
198901,14.4953,18.9782073
198902,26.8092,12.65485876
198903,-1.1524,-7.628272407
198904,26.4975,-2.885219031
199001,-0.2433,7.957275369
199002,-0.5813,-4.354614213
199003,6.5486,7.885578952
199004,12.8321,1.125607082
199101,4.2417,5.784946994
199102,7.6165,3.194413827
199103,14.9952,8.743921743
199104,-1.9547,-12.35234396
199201,2.7868,5.866879509
199202,-1.5409,0.518896811
199203,14.9043,10.506126
199204,-16.5824,-11.72855439
199301,26.9504,11.89251487
199302,20.0101,0.789173361
199303,3.6037,-2.490765304
199304,21.3066,-9.216658099
199401,6.1528,12.40335688
199402,6.3607,1.60092958
199403,3.4352,4.27202315
199404,-51.7603,-15.37995588
199501,7.8252,10.38298526
199502,4.5299,2.811719905
199503,1.0249,1.00936269
199504,9.1596,-3.281873352
199601,4.6933,7.480712956
199602,0.6284,-0.346415291
199603,2.9904,0.435848761
199604,3.4066,-4.176329001
199701,4.8855,5.92762218
199702,6.4663,-0.57106469
199703,-3.4301,1.012389006
199704,6.6126,-9.958155203
199801,8.7812,10.78633755
199802,-5.6645,-3.399749874
199803,11.7257,4.50003082
199804,-15.5122,-19.27466089
199901,1.2844,2.374312377
199902,-10.6747,-8.755413644
199903,1.0112,0.624697388
199904,5.5187,-5.736265202
200001,5.8399,5.568610146
200002,-2.1326,-1.811731308
200003,4.8432,1.864290536
200004,24.0364,-2.532726484
200101,4.496,6.225164854
200102,8.5219,4.079968454
200103,12.2658,6.113545137
200104,-18.7175,-7.530580709
200201,-0.6476,4.99708526
200202,-1.3921,0.959889678
200203,-1.8787,2.673934457
200204,-45.4146,-10.47637908
200301,9.539,5.23418535
200302,1.445,2.51540113
200303,-2.3583,-4.268719176
200304,-2.5781,-3.197226754
200401,11.6075,11.05157271
200402,-3.3308,1.273410921
200403,3.5043,4.810465416
200404,11.7393,-5.149841947
200501,9.8128,10.16611197
200502,1.7066,1.648184236
200503,-0.5373,2.854162089
200504,-5.7161,-9.199422309
200601,-1.194,4.848397963
200602,1.9529,0.712635946
200603,3.5624,5.190502631
200604,24.2755,-2.907615819
200701,4.7418,9.198012908
200702,1.9538,0.322793801
200703,5.2844,2.150303566
200704,9.8279,-1.83470797
200801,26.0233,10.41386817
200802,-7.3286,-11.67122623
200803,33.9106,5.333791037
200804,-59.9883,-30.07508794
200901,-15.8268,-5.392106428
200902,-28.5809,-15.37845464
200903,-6.3022,-1.566647492
200904,-4.8888,-10.51725308
201001,8.087980407,8.087980407
201002,-2.789751081,-2.789751081
201003,0.494901487,0.494901487
201004,-7.612121591,-7.612121591
201101,5.367332364,5.367332364
201102,-0.304259557,-0.304259557
201103,3.03329545,3.03329545
201104,-0.73738246,-0.73738246
201201,2.249135529,2.249135529
201202,-0.629053167,-0.629053167
201203,-3.10029938,-3.10029938
201204,-3.092556517,-3.092556517
201301,-0.757672601,-0.757672601
201302,-2.2957021,-2.2957021
201303,-1.66835406,-1.66835406
201304,-6.723067247,-6.723067247
201401,3.37272271,3.37272271
201402,-0.910905596,-0.910905596
201403,-2.210670549,-2.210670549
201404,-6.994513612,-6.994513612
201501,4.188730919,4.188730919
201502,-2.033609172,-2.033609172
201503,-1.910801437,-1.910801437
201504,-6.351258831,-6.351258831
201601,3.838114779,3.838114779
201602,0.530406432,0.530406432
201603,-0.160811568,-0.160811568
201604,-3.221685294,-3.221685294
