Date,RF,Mkt-RF_VM,SMB_VM,HML_VM,Mom_VM,Mkt-RF,SMB,HML,Mom
1927-01,0.002500,-0.003198,-0.015569,0.201844,0.032973,-0.000500,-0.003200,0.045800,0.005700
1927-02,0.002600,0.277062,0.002845,0.033096,-0.074847,0.041700,0.000700,0.027200,-0.015000
1927-03,0.003000,0.018149,-0.052347,-0.032726,0.306068,0.001400,-0.017700,-0.023800,0.035200
1927-04,0.002500,0.015530,0.015346,0.016622,0.166030,0.004700,0.003900,0.006500,0.043600
1927-05,0.003000,0.267021,0.094955,0.115349,0.101310,0.054500,0.015500,0.048000,0.027800
1927-06,0.002600,-0.192648,0.014638,-0.050083,0.019322,-0.023800,0.005100,-0.017200,0.005500
1927-07,0.003000,0.270495,-0.162992,-0.021251,0.136951,0.072600,-0.032700,-0.011300,0.042200
1927-08,0.002800,0.155697,-0.032787,-0.192890,0.080931,0.019900,-0.007700,-0.038500,0.012500
1927-09,0.002100,0.118253,-0.166807,-0.015745,0.036454,0.047700,-0.036000,-0.005700,0.019300
1927-10,0.002500,-0.123331,0.091181,-0.316685,-0.033267,-0.042900,0.020300,-0.044700,-0.009200
1927-11,0.002100,0.150494,0.086441,-0.001482,-0.004954,0.065200,0.027800,-0.000800,-0.002200
1927-12,0.002200,0.083211,0.049954,-0.085556,0.082112,0.020900,0.009800,-0.011200,0.031100
1928-01,0.002500,-0.031452,0.138915,-0.021174,-0.017138,-0.005700,0.042000,-0.007100,-0.004600
1928-02,0.003300,-0.061908,-0.049628,-0.062220,-0.059286,-0.016900,-0.020600,-0.006400,-0.010700
1928-03,0.002900,0.345777,-0.011088,-0.043897,0.388439,0.087900,-0.003800,-0.011100,0.047000
1928-04,0.002200,0.121660,0.108256,0.076520,-0.101221,0.042500,0.041400,0.032500,-0.058500
1928-05,0.003200,0.032934,0.094008,-0.066604,0.091273,0.015200,0.027000,-0.030000,0.026400
1928-06,0.003100,-0.081939,-0.089236,0.007255,0.038861,-0.049000,-0.037600,0.002800,0.017900
1928-07,0.003200,0.004294,-0.007214,-0.015292,0.034225,0.006300,-0.013600,-0.005400,0.026700
1928-08,0.003200,0.122031,-0.161275,-0.069701,0.134661,0.066900,-0.020400,-0.021300,0.036800
1928-09,0.002700,0.078258,0.121376,0.044707,0.152809,0.028700,0.024000,0.008400,0.034000
1928-10,0.004100,0.058046,0.100659,-0.090854,0.158167,0.013100,0.022400,-0.021400,0.051100
1928-11,0.003800,0.470773,-0.055539,0.068755,0.074361,0.118200,-0.018200,0.026500,0.017800
1928-12,0.000600,0.007010,-0.025472,-0.011745,0.065011,0.004000,-0.009300,-0.005200,0.015800
1929-01,0.003400,0.032352,-0.046998,-0.025890,0.025527,0.046600,-0.033500,-0.012200,0.024300
1929-02,0.003600,-0.007012,-0.008350,0.044637,0.121238,-0.003400,-0.003300,0.016600,0.031000
1929-03,0.003400,-0.009438,-0.106622,0.039312,-0.008313,-0.008500,-0.049100,0.015700,-0.005400
1929-04,0.003600,0.010557,-0.009880,0.033059,0.069590,0.014700,-0.011200,0.009300,0.020700
1929-05,0.004400,-0.095023,-0.104728,-0.032494,-0.045301,-0.063800,-0.054400,-0.015200,-0.023200
1929-06,0.005200,0.074558,-0.021682,-0.091922,0.113236,0.097000,-0.021400,-0.027400,0.083100
1929-07,0.003300,0.107396,-0.132890,0.045068,0.085080,0.044800,-0.038700,0.026700,0.029500
1929-08,0.004000,0.226381,-0.226228,0.006931,0.121089,0.081400,-0.097500,0.003200,0.044000
1929-09,0.003500,-0.051280,0.017957,-0.023434,0.070396,-0.054500,0.013400,-0.007900,0.029600
1929-10,0.004600,-0.212442,-0.045655,0.427209,0.057993,-0.200700,-0.049500,0.075400,0.024400
1929-11,0.003700,-0.006780,-0.000978,0.017836,-0.009141,-0.128700,-0.008800,0.050500,-0.020700
1929-12,0.003700,0.001072,-0.006489,-0.000672,0.023118,0.012800,-0.041000,-0.001400,0.054300
1930-01,0.001400,0.018300,0.021575,-0.015122,-0.025125,0.056100,0.034900,-0.010300,-0.054600
1930-02,0.003000,0.063762,0.004419,0.004749,0.013331,0.025000,0.002800,0.002800,0.011500
1930-03,0.003500,0.138463,0.124056,0.010588,-0.120727,0.070900,0.033900,0.003000,-0.042300
1930-04,0.002100,-0.052482,-0.008205,-0.010445,0.064709,-0.020500,-0.003500,-0.003700,0.041300
1930-05,0.002600,-0.032145,-0.048774,-0.016581,-0.023073,-0.016600,-0.021000,-0.007400,-0.007600
1930-06,0.002700,-0.108311,-0.030063,0.026037,0.055921,-0.160800,-0.035900,0.024000,0.058400
1930-07,0.002000,0.009484,-0.001135,-0.017811,-0.017553,0.041200,-0.002700,-0.017000,-0.021400
1930-08,0.000900,0.002151,-0.016624,-0.014579,0.037731,0.003000,-0.021600,-0.005900,0.038700
1930-09,0.002200,-0.099877,-0.025178,-0.211152,0.332114,-0.128100,-0.024100,-0.050900,0.115900
1930-10,0.000900,-0.073942,-0.002725,-0.016400,0.105339,-0.087800,-0.002000,-0.010900,0.062700
1930-11,0.001300,-0.008418,0.005720,-0.030143,-0.012120,-0.030400,0.024600,-0.038100,-0.013200
1930-12,0.001400,-0.036489,-0.033713,-0.059386,0.071766,-0.078600,-0.046700,-0.056900,0.124800
1931-01,0.001500,0.025100,0.010345,0.041414,-0.035234,0.062500,0.034700,0.082400,-0.111000
1931-02,0.000400,0.067204,0.025878,0.009329,-0.039772,0.108800,0.034500,0.016300,-0.135800
1931-03,0.001300,-0.073818,0.071224,-0.063998,0.049425,-0.063500,0.028300,-0.032000,0.097200
1931-04,0.000800,-0.087976,-0.036508,-0.073798,0.068796,-0.100000,-0.042200,-0.043300,0.110000
1931-05,0.000900,-0.064366,0.036258,-0.043300,0.093623,-0.132900,0.052200,-0.063100,0.092300
1931-06,0.000800,0.072574,-0.012858,0.110728,-0.200720,0.139300,-0.050100,0.117000,-0.176000
1931-07,0.000600,-0.010893,0.001987,-0.005991,0.018432,-0.066300,0.014900,-0.022000,0.084000
1931-08,0.000300,0.002064,-0.009566,-0.007868,-0.019894,0.004000,-0.020800,-0.017000,-0.031200
1931-09,0.000300,-0.215235,-0.005756,-0.063179,0.374730,-0.287400,-0.010200,-0.072400,0.092900
1931-10,0.001000,0.011813,-0.000236,0.004008,0.027445,0.079900,-0.002800,0.031200,0.029700
1931-11,0.001700,-0.007521,0.003117,-0.011467,0.026474,-0.091400,0.044000,-0.051900,0.079400
1931-12,0.001200,-0.041440,-0.002135,-0.045011,0.064029,-0.135200,-0.008700,-0.091900,0.129500
1932-01,0.002300,-0.002529,0.003308,0.012927,-0.021102,-0.015700,0.044100,0.097400,-0.099400
